state,year,production,area,yield
Punjab,2019,39337100.0,7210600.0,5.455454469808338
Rajasthan,2011,33098918.0,23156274.0,1.4293714956041719
Rajasthan,2013,32410750.0,24877884.0,1.3027936781118523
Rajasthan,2014,30970674.0,22798064.0,1.3584782462230127
Rajasthan,2015,30102062.0,23489812.0,1.2814943772219207
Rajasthan,2016,35551774.0,24490578.0,1.4516510798560982
Rajasthan,2017,33726217.0,23469801.0,1.4370048131213384
Rajasthan,2018,35623019.0,23755923.0,1.4995426193290826
Rajasthan,2019,40036265.0,25825095.0,1.5502852942070493
Sikkim,2011,106820.0,73840.0,1.4466413867822319
Sikkim,2013,105919.0,69238.0,1.5297813339495652
Sikkim,2014,105718.0,68935.0,1.5335896134039313
Sikkim,2015,103416.0,65853.0,1.570406815179263
Sikkim,2016,105764.0,68033.0,1.554598503667338
Sikkim,2017,103050.0,66083.0,1.559402569495937
Sikkim,2018,100531.0,64161.0,1.56685525474977
Sikkim,2019,100782.0,64357.0,1.5659834982985534
THE DADRA AND NAGAR HAVELI,2011,79129.0,19288.0,4.102498963085856
THE DADRA AND NAGAR HAVELI,2019,54601.0,22347.0,2.443325726048239
Tamil Nadu,2011,59999489.0,4557148.0,13.166017210764275
Tamil Nadu,2013,51696598.0,4648612.0,11.120867476141266
Tamil Nadu,2014,49545985.0,4757428.0,10.414447680553442
Tamil Nadu,2015,44705186.0,4969563.0,8.995798222097195
Tamil Nadu,2016,30557816.0,3934333.0,7.766962277976979
Tamil Nadu,2017,35086857.0,4546665.0,7.717053488655971
Tamil Nadu,2018,35304611.0,4567111.0,7.730184574011886
Tamil Nadu,2019,34711913.0,4791736.0,7.244120502465077
Telangana,2013,20302376.0,5933843.0,3.4214548649163787
Telangana,2014,15801138.0,4963741.0,3.183312344459552
Telangana,2015,13386887.0,5051233.0,2.650221638954291
Telangana,2016,17685596.0,5604569.0,3.155567537842785
Telangana,2017,19364672.0,5699786.0,3.3974384301445704
Telangana,2018,18022438.0,5412620.0,3.3297068702402903
Telangana,2019,26915120.0,7123803.0,3.7781954385880687
Tripura,2011,790439.0,286396.0,2.7599512563024624
Tripura,2013,794580.0,280559.0,2.8321315659094877
Tripura,2014,822366.0,285642.0,2.879009389375512
Tripura,2015,884931.0,315981.0,2.800582946442982
